frame,ID,x,y
15,391,183,1
16,29,165,1
17,459,166,1
18,138,153,1
19,76,122,1
20,370,75,1
21,217,71,1
22,494,52,1
23,83,42,1
24,405,35,1
25,622,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,465,371,1
4,129,343,1
5,579,328,1
6,240,311,1
7,327,313,1
8,497,294,1
9,152,293,1
10,510,270,1
11,488,253,1
12,322,238,1
13,592,236,1
14,75,201,1
15,390,184,1
16,31,166,1
17,462,164,1
18,132,154,1
19,73,122,1
20,370,75,1
21,218,67,1
22,496,53,1
23,549,51,1
24,83,42,1
25,403,33,1
26,622,29,1
0,584,463,1
1,606,446,1
2,597,428,1
3,387,396,1
4,464,372,1
5,131,343,1
6,579,328,1
7,244,314,1
8,327,316,1
9,152,293,1
10,504,281,1
11,488,257,1
12,317,241,1
13,592,236,1
14,75,200,1
15,389,184,1
16,33,167,1
17,465,161,1
18,128,155,1
19,69,122,1
20,370,76,1
21,221,64,1
22,497,53,1
23,548,51,1
24,83,42,1
25,623,29,1
26,402,31,1
0,584,462,1
1,597,428,1
2,321,426,1
3,132,342,1
4,576,338,1
5,248,318,1
6,327,318,1
7,151,293,1
8,502,286,1
9,512,277,1
10,487,260,1
11,311,243,1
12,592,237,1
13,73,198,1
14,388,185,1
15,36,168,1
16,467,159,1
17,122,156,1
18,65,121,1
19,370,76,1
20,224,59,1
21,500,54,1
22,548,51,1
23,83,42,1
24,623,30,1
25,402,31,1
0,584,463,1
1,605,446,1
2,597,428,1
3,465,372,1
4,133,342,1
5,578,336,1
6,250,321,1
7,327,322,1
8,150,295,1
9,513,282,1
10,487,262,1
11,305,244,1
12,592,237,1
13,73,197,1
14,384,187,1
15,36,168,1
16,118,157,1
17,472,157,1
18,63,120,1
19,370,76,1
20,501,56,1
21,226,53,1
22,83,42,1
23,403,33,1
24,623,29,1
0,28,473,1
1,584,463,1
2,606,446,1
3,597,428,1
4,134,341,1
5,578,338,1
6,252,322,1
7,328,324,1
8,149,297,1
9,164,288,1
10,511,279,1
11,487,265,1
12,299,245,1
13,592,236,1
14,73,196,1
15,380,189,1
16,38,168,1
17,114,157,1
18,476,155,1
19,57,119,1
20,370,75,1
21,504,56,1
22,229,51,1
23,83,42,1
24,405,35,1
25,622,29,1
0,25,470,1
1,584,463,1
2,605,446,1
3,597,428,1
4,140,339,1
5,578,338,1
6,327,327,1
7,248,320,1
8,152,301,1
9,513,292,1
10,486,272,1
11,516,257,1
12,290,247,1
13,592,237,1
14,375,192,1
15,71,193,1
16,43,169,1
17,106,159,1
18,484,152,1
19,49,116,1
20,370,75,1
21,505,58,1
22,83,42,1
23,409,39,1
24,232,45,1
0,0,584,463
0,1,606,446
0,2,597,428
0,3,80,424
0,4,386,333
0,5,579,328
0,6,325,311
0,7,418,310
0,8,544,297
0,9,150,297
0,10,113,285
0,11,103,259
0,12,592,235
0,13,399,169
0,14,389,152
0,15,6,156
0,16,38,143
0,17,381,134
0,18,264,99
0,19,101,89
0,20,367,89
0,21,502,91
0,22,500,75
0,23,284,75
0,24,83,42
0,25,497,13
